user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
S1C1177	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__Mesorhizobium sp001427285	GCF_001427285.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__Mesorhizobium sp001427285	97.37	0.81	GCF_001427285.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__Mesorhizobium sp001427285	97.37	0.81	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_001897075.1, s__Mesorhizobium sp001897075, 95.0, 89.33, 0.72; GCF_001427385.1, s__Mesorhizobium sp001427385, 95.0, 84.52, 0.64; GCF_004801285.1, s__Mesorhizobium composti, 95.0, 80.82, 0.47; GCF_003952385.1, s__Mesorhizobium sp003952385, 95.0, 80.47, 0.45; GCF_004791025.1, s__Mesorhizobium sp004791025, 95.0, 80.43, 0.5; GCF_000824825.2, s__Mesorhizobium sp000824825, 95.0, 80.41, 0.44; GCF_003952505.1, s__Mesorhizobium sp003952505, 95.0, 80.41, 0.47; GCF_004791585.1, s__Mesorhizobium sp004791585, 95.0, 80.4, 0.47; GCF_003353565.1, s__Mesorhizobium sp003353565, 95.0, 80.38, 0.48; GCA_004963905.1, s__Mesorhizobium sp004963905, 95.0, 80.36, 0.45; GCF_900472295.1, s__Mesorhizobium sp900472295, 95.0, 80.33, 0.47; GCF_006440735.1, s__Mesorhizobium sp006440735, 95.0, 80.32, 0.46; GCF_013520985.1, s__Mesorhizobium sp013520985, 95.0, 80.32, 0.47; GCF_001686985.1, s__Mesorhizobium amorphae_B, 95.0, 80.31, 0.49; GCF_002295115.1, s__Mesorhizobium sp002295115, 95.0, 80.31, 0.47; GCF_003601985.1, s__Mesorhizobium jarvisii, 95.0, 80.3, 0.47; GCF_003952465.1, s__Mesorhizobium sp003952465, 95.0, 80.3, 0.47; GCF_900472585.1, s__Mesorhizobium sp900472585, 95.0, 80.29, 0.46; GCF_000425965.1, s__Mesorhizobium sp000425965, 95.0, 80.28, 0.45; GCF_000502715.1, s__Mesorhizobium sp000502715, 95.0, 80.28, 0.46; GCF_003952485.1, s__Mesorhizobium sp003952485, 95.0, 80.27, 0.48; GCF_000350085.1, s__Mesorhizobium metallidurans, 95.0, 80.27, 0.46; GCF_000824785.1, s__Mesorhizobium plurifarium, 95.0, 80.27, 0.49; GCF_014207355.1, s__Mesorhizobium sangaii, 95.0, 80.27, 0.46; GCF_000009625.1, s__Mesorhizobium japonicum, 95.0, 80.27, 0.47; GCF_006440675.1, s__Mesorhizobium sp006440675, 95.0, 80.25, 0.46; GCF_000472705.1, s__Mesorhizobium erdmanii, 95.0, 80.24, 0.46; GCA_004017535.1, s__Mesorhizobium sp004017535, 95.0, 80.23, 0.46; GCA_002200945.1, s__Mesorhizobium amorphae_A, 95.0, 80.23, 0.48; GCF_002356515.1, s__Mesorhizobium loti_C, 95.0, 80.23, 0.49; GCF_001510895.1, s__Mesorhizobium loti_A, 95.0, 80.22, 0.46; GCA_004020545.1, s__Mesorhizobium sp004020545, 95.0, 80.21, 0.47; GCF_000359125.1, s__Mesorhizobium sp000359125, 95.0, 80.21, 0.45; GCF_900199455.1, s__Mesorhizobium sp900199455, 95.0, 80.21, 0.48; GCF_003863365.1, s__Mesorhizobium tamadayense, 95.0, 80.21, 0.46; GCF_006442965.1, s__Mesorhizobium sp006442965, 95.0, 80.2, 0.48; GCF_001425625.1, s__Mesorhizobium sp001425625, 95.0, 80.2, 0.47; GCF_900103325.1, s__Mesorhizobium qingshengii, 95.0, 80.19, 0.47; GCF_003952425.1, s__Mesorhizobium sp003952425, 95.0, 80.19, 0.48; GCF_006442815.1, s__Mesorhizobium sp006442815, 95.0, 80.18, 0.48; GCF_007003975.1, s__Mesorhizobium sp007003975, 95.0, 80.18, 0.47; GCF_900115245.1, s__Mesorhizobium sp900115245, 95.0, 80.18, 0.47; GCF_003289965.1, s__Mesorhizobium sp003289965, 95.0, 80.18, 0.48; GCF_000427725.1, s__Mesorhizobium sp000427725, 95.0, 80.17, 0.47; GCF_000824845.1, s__Mesorhizobium sp000824845, 95.0, 80.17, 0.46; GCF_007830515.1, s__Mesorhizobium tianshanense, 95.0, 80.16, 0.47; GCF_004791165.1, s__Mesorhizobium sp004791165, 95.0, 80.16, 0.47; GCF_003253745.1, s__Mesorhizobium kowhaii, 95.0, 80.16, 0.49; GCF_006440775.1, s__Mesorhizobium sp006440775, 95.0, 80.16, 0.47; GCF_004363725.1, s__Mesorhizobium defluvii, 95.0, 80.16, 0.4; GCF_013170825.1, s__Mesorhizobium sp013170825, 95.0, 80.16, 0.48; GCF_003601975.1, s__Mesorhizobium waimense, 95.0, 80.16, 0.5; GCF_002294725.1, s__Mesorhizobium sp002294725, 95.0, 80.15, 0.47; GCF_004016445.2, s__Mesorhizobium sp004016445, 95.0, 80.15, 0.47; GCF_002295065.1, s__Mesorhizobium sp002295065, 95.0, 80.15, 0.47; GCF_000176035.2, s__Mesorhizobium opportunistum, 95.0, 80.15, 0.47; GCF_008727715.1, s__Mesorhizobium terrae, 95.0, 80.14, 0.46; GCF_003148495.1, s__Mesorhizobium loti, 95.0, 80.13, 0.47; GCF_003952365.1, s__Mesorhizobium sp003952365, 95.0, 80.12, 0.45; GCF_004022705.2, s__Mesorhizobium sp004022705, 95.0, 80.12, 0.47; GCF_000688075.1, s__Mesorhizobium sp000688075, 95.0, 80.12, 0.48; GCF_003289945.1, s__Mesorhizobium hawassense, 95.0, 80.12, 0.48; GCF_002270415.1, s__Mesorhizobium sophorae, 95.0, 80.12, 0.47; GCF_900156895.1, s__Mesorhizobium prunaredense, 95.0, 80.11, 0.44; GCF_003952525.1, s__Mesorhizobium sp002294945, 95.0, 80.11, 0.43; GCF_001854785.1, s__Mesorhizobium sp001854785, 95.0, 80.1, 0.45; GCF_013170705.1, s__Mesorhizobium loti_D, 95.0, 80.09, 0.49; GCF_003034915.1, s__Mesorhizobium helmanticense, 95.0, 80.09, 0.46; GCA_004962245.1, s__Mesorhizobium sp004962245, 95.0, 80.09, 0.45; GCF_000824805.1, s__Mesorhizobium sp000824805, 95.0, 80.09, 0.47; GCF_006442795.1, s__Mesorhizobium sp006442795, 95.0, 80.08, 0.46; GCF_006439355.1, s__Mesorhizobium sp006439355, 95.0, 80.08, 0.48; GCF_004919685.1, s__Mesorhizobium norvegicum, 95.0, 80.07, 0.5; GCF_002294985.1, s__Mesorhizobium sp002294985, 95.0, 80.07, 0.44; GCF_013170805.1, s__Mesorhizobium sp013170805, 95.0, 80.07, 0.48; GCF_900099905.1, s__Mesorhizobium muleiense, 95.0, 80.05, 0.45; GCF_004010325.2, s__Mesorhizobium sp004010325, 95.0, 80.0, 0.47; GCF_002294995.1, s__Mesorhizobium sp002294995, 95.0, 80.0, 0.44; GCF_002284565.1, s__Mesorhizobium mediterraneum, 95.0, 79.99, 0.47; GCA_004020105.1, s__Mesorhizobium sp004020105, 95.0, 79.99, 0.45; GCA_005063415.1, s__Mesorhizobium sp005063415, 95.0, 79.95, 0.4; GCF_000502835.1, s__Mesorhizobium sp000502835, 95.0, 79.9, 0.43; GCA_004020875.1, s__Mesorhizobium sp004020875, 95.0, 79.89, 0.47; GCF_000503055.1, s__Mesorhizobium sp000503055, 95.0, 79.88, 0.45; GCA_004020315.1, s__Mesorhizobium sp004020315, 95.0, 79.88, 0.45; GCF_002284575.1, s__Mesorhizobium temperatum, 95.0, 79.87, 0.45; GCA_004020365.1, s__Mesorhizobium sp004020365, 95.0, 79.87, 0.44; GCF_002284535.1, s__Mesorhizobium wenxiniae, 95.0, 79.85, 0.45; GCA_004962925.1, s__Mesorhizobium sp004962925, 95.0, 79.85, 0.42; GCF_014201615.1, s__Mesorhizobium lusatiense, 95.0, 79.84, 0.38; GCA_004020645.1, s__Mesorhizobium sp004020645, 95.0, 79.81, 0.45; GCA_001899205.1, s__Mesorhizobium sp001899205, 95.0, 79.8, 0.46; GCF_001427025.1, s__Mesorhizobium sp001427025, 95.0, 79.61, 0.43; GCF_004136315.1, s__Mesorhizobium sp004136315, 95.0, 79.47, 0.41; GCA_003963455.1, s__Mesorhizobium sp003963455, 95.0, 79.41, 0.38; GCF_001303895.1, s__Mesorhizobium sp001303895, 95.0, 79.3, 0.43; GCF_002858745.1, s__Mesorhizobium loti_F, 95.0, 79.29, 0.41; GCF_002075885.1, s__Mesorhizobium manganicum, 95.0, 79.23, 0.37; GCA_003242525.1, s__Mesorhizobium sp003242525, 95.0, 78.3, 0.38	74.99	11	N/A	N/A
S1C1178	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas_A;s__	N/A	N/A	N/A	N/A	N/A	GCF_010093345.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas_A;s__Pseudoxanthomonas_A yeongjuensis	90.64	0.85	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas_A;s__	taxonomic classification defined by topology and ANI	N/A	GCF_010093305.1, s__Pseudoxanthomonas_A sacheonensis, 95.0, 84.25, 0.75; GCF_900104085.1, s__Pseudoxanthomonas_A sp900104085, 95.0, 84.11, 0.79; GCF_010119615.1, s__Pseudoxanthomonas_A gei, 95.0, 83.95, 0.71; GCA_004173415.1, s__Pseudoxanthomonas_A sp004173415, 95.0, 83.86, 0.56; GCF_010211755.1, s__Pseudoxanthomonas_A sangjuensis, 95.0, 81.89, 0.63; GCF_900215535.1, s__Pseudoxanthomonas_A wuyuanensis, 95.0, 81.76, 0.67; GCF_006542425.1, s__Pseudoxanthomonas_A sp006542425, 95.0, 81.56, 0.66; GCF_010093385.1, s__Pseudoxanthomonas_A mexicana, 95.0, 81.54, 0.62; GCF_001427635.1, s__Pseudoxanthomonas_A sp001427635, 95.0, 81.5, 0.63; GCF_010211745.1, s__Pseudoxanthomonas_A kalamensis, 95.0, 81.37, 0.53; GCF_010093445.1, s__Pseudoxanthomonas_A japonensis, 95.0, 81.34, 0.63; GCF_001556105.1, s__Pseudoxanthomonas_A mexicana_A, 95.0, 81.31, 0.59; GCF_900104255.1, s__Pseudoxanthomonas_A sp900104255, 95.0, 81.22, 0.64; GCF_001427585.1, s__Pseudoxanthomonas_A sp001427585, 95.0, 81.21, 0.63; GCA_002863005.1, s__Pseudoxanthomonas_A sp002863005, 95.0, 81.04, 0.57; GCF_006716465.1, s__Pseudoxanthomonas_A sp006716465, 95.0, 81.02, 0.61; GCF_900167565.1, s__Pseudoxanthomonas_A indica, 95.0, 81.01, 0.61; GCF_900116385.1, s__Pseudoxanthomonas_A sp900116385, 95.0, 80.89, 0.61; GCF_004284655.1, s__Pseudoxanthomonas_A spadix_A, 95.0, 80.79, 0.59; GCF_004284195.1, s__Pseudoxanthomonas_A sp004284195, 95.0, 80.77, 0.59; GCF_900109775.1, s__Pseudoxanthomonas_A sp900109775, 95.0, 80.63, 0.58; GCF_003703395.1, s__Pseudoxanthomonas_A spadix, 95.0, 80.59, 0.52; GCF_004122095.1, s__Pseudoxanthomonas_A composti, 95.0, 80.58, 0.57; GCF_001431405.1, s__Pseudoxanthomonas_A dokdonensis, 95.0, 80.34, 0.56	42.66	11	0.9953513397175295	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
S1C1196	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Palsa-955;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Palsa-955;s__	taxonomic classification fully defined by topology	N/A	N/A	96.11	11	0.9454373585035667	N/A
S1C1223	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__UBA2791;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__UBA2791;s__	taxonomic classification fully defined by topology	N/A	N/A	58.35	11	0.9413282133742357	N/A
S1C1229	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Palsa-955;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Palsa-955;s__	taxonomic classification fully defined by topology	N/A	N/A	80.52	11	0.9522207805939059	N/A
S1C1249	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__CADEFQ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_902826635.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__CADEFQ01;s__CADEFQ01 sp902826635	82.63	0.65	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__CADEFQ01;s__	taxonomic classification defined by topology and ANI	N/A	GCA_902826575.1, s__CADEFQ01 sp902826575, 95.0, 80.51, 0.57	87.51	11	0.9653339875715735	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
S1C1261	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhizobacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_001425865.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhizobacter;s__Rhizobacter sp001425865	82.47	0.65	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhizobacter;s__	taxonomic classification defined by topology and ANI	N/A	GCF_012932665.1, s__Rhizobacter sp012932665, 95.0, 81.57, 0.59; GCF_000799605.1, s__Rhizobacter sp000799605, 95.0, 81.36, 0.59; GCF_000800095.1, s__Rhizobacter sp000800095, 95.0, 81.28, 0.6; GCF_001425825.1, s__Rhizobacter sp001425825, 95.0, 81.23, 0.59; GCF_012275445.1, s__Rhizobacter sp012275445, 95.0, 81.2, 0.59; GCF_900142965.1, s__Rhizobacter sp900142965, 95.0, 81.19, 0.6; GCA_001263235.1, s__Rhizobacter sp001263235, 95.0, 80.89, 0.57; GCF_013366375.1, s__Rhizobacter sp013366375, 95.0, 80.56, 0.54; GCA_005882155.1, s__Rhizobacter sp005882155, 95.0, 80.5, 0.45; GCA_903830565.1, s__Rhizobacter sp903830565, 95.0, 80.19, 0.46; GCF_003852895.1, s__Rhizobacter soli, 95.0, 80.17, 0.52; GCA_903905475.1, s__Rhizobacter sp903905475, 95.0, 79.91, 0.44; GCA_002255905.1, s__Rhizobacter sp002255905, 95.0, 79.79, 0.37; GCA_003152055.1, s__Rhizobacter sp003152055, 95.0, 79.65, 0.49; GCF_002116905.1, s__Rhizobacter gummiphilus, 95.0, 79.57, 0.49; GCF_000799305.1, s__Rhizobacter sp000799305, 95.0, 79.57, 0.52; GCA_001464195.1, s__Rhizobacter sp001464195, 95.0, 79.37, 0.38; GCA_002281415.1, s__Rhizobacter sp002281415, 95.0, 79.31, 0.36; GCA_014380155.1, s__Rhizobacter sp014380155, 95.0, 79.3, 0.38; GCF_001425785.1, s__Rhizobacter sp001425785, 95.0, 79.27, 0.45; GCF_903643055.1, s__Rhizobacter sp903643055, 95.0, 78.57, 0.27; GCA_014379885.1, s__Rhizobacter sp014379885, 95.0, 78.2, 0.31	87.87	11	0.9707336447979549	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
S1C1264	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__JAAYYF01;s__	N/A	N/A	N/A	N/A	N/A	GCA_012515535.1	95.0	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__JAAYYF01;s__JAAYYF01 sp012515535	78.89	0.47	d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Trueperaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	86.54	11	0.9079961145885053	N/A
S1C12691	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__Parvibaculaceae;g__Parvibaculum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Parvibaculales;f__Parvibaculaceae;g__Parvibaculum;s__	ANI	N/A	GCF_009184905.1, s__Parvibaculum sedimenti, 95.0, 80.09, 0.51; GCA_903889655.1, s__Parvibaculum sp903889655, 95.0, 79.99, 0.5; GCA_002841195.1, s__Parvibaculum sp002841195, 95.0, 79.42, 0.49; GCF_000017565.1, s__Parvibaculum lavamentivorans, 95.0, 79.37, 0.41; GCA_002480495.1, s__Parvibaculum sp002480495, 95.0, 78.85, 0.39; GCA_002842875.1, s__Parvibaculum sp002842875, 95.0, 78.6, 0.41; GCA_002694985.1, s__Parvibaculum sp002694985, 95.0, 78.58, 0.36; GCA_002684405.1, s__Parvibaculum sp002684405, 95.0, 78.53, 0.34; GCF_011762095.1, s__Parvibaculum indicum, 95.0, 78.49, 0.38; GCA_014359855.1, s__Parvibaculum sp014359855, 95.0, 78.48, 0.4; GCA_013823365.1, s__Parvibaculum sp013823365, 95.0, 78.05, 0.36	98.07	11	0.9325048937536637	N/A
S1C1284	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__JACTMJ01;s__	N/A	N/A	N/A	N/A	N/A	GCA_014584705.1	95.0	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__JACTMJ01;s__JACTMJ01 sp014584705	89.21	0.89	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	74.51	11	0.9842543374230301	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
S1C1306	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Palsa-955;s__	N/A	N/A	N/A	N/A	N/A	GCF_003721595.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Palsa-955;s__Palsa-955 sp003721595	76.13	0.04	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Palsa-955;s__	taxonomic classification defined by topology and ANI	N/A	N/A	24.78	11	0.9476638244870232	N/A
S1C1329	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-41;g__Ga0077527;s__	N/A	N/A	N/A	N/A	N/A	GCA_003820645.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-41;g__Ga0077527;s__Ga0077527 sp003820645	81.05	0.73	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-41;g__Ga0077527;s__	taxonomic classification defined by topology and ANI	N/A	GCA_903933915.1, s__Ga0077527 sp903933915, 95.0, 80.52, 0.7; GCA_001464815.1, s__Ga0077527 sp001464815, 95.0, 79.74, 0.74	20.95	11	0.9666641928905145	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
S1C1346	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__	ANI	N/A	GCA_013140985.1, s__JJ008 sp013140985, 95.0, 77.36, 0.21; GCF_002127295.1, s__JJ008 sp002127295, 95.0, 77.24, 0.25; GCA_001464625.1, s__JJ008 sp001464625, 95.0, 77.12, 0.24; GCA_002352145.1, s__JJ008 sp002352145, 95.0, 76.61, 0.12; GCA_002069045.1, s__JJ008 sp002069045, 95.0, 76.55, 0.21	45.9	11	0.951169245664486	Genome has more than 48.3% of markers with multiple hits
S1C1358	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	ANI	N/A	GCF_014486675.1, s__Flavobacterium macrobrachii, 95.0, 80.01, 0.48; GCF_012911605.1, s__Flavobacterium sp012911605, 95.0, 79.8, 0.51; GCF_004362665.1, s__Flavobacterium dankookense, 95.0, 79.28, 0.49; GCA_001464475.1, s__Flavobacterium sp001464475, 95.0, 79.08, 0.38; GCA_014642275.1, s__Flavobacterium lutivivi, 95.0, 78.8, 0.41; GCF_000757385.1, s__Flavobacterium aquatile, 95.0, 78.73, 0.39; GCA_013298525.1, s__Flavobacterium sp013298525, 95.0, 78.57, 0.36; GCF_000422705.1, s__Flavobacterium soli, 95.0, 78.56, 0.25; GCA_003525665.1, s__Flavobacterium sp003525665, 95.0, 78.53, 0.34; GCF_003634615.1, s__Flavobacterium sp002482945, 95.0, 78.47, 0.37; GCF_004797125.1, s__Flavobacterium sangjuense, 95.0, 78.45, 0.37; GCA_903913315.1, s__Flavobacterium sp903913315, 95.0, 78.37, 0.31; GCF_013072765.1, s__Flavobacterium sp013072765, 95.0, 78.35, 0.33; GCA_903879645.1, s__Flavobacterium sp903879645, 95.0, 78.27, 0.32; GCF_014486695.1, s__Flavobacterium buctense, 95.0, 78.25, 0.37; GCA_002786385.1, s__Flavobacterium sp002786385, 95.0, 78.25, 0.29; GCF_010119235.1, s__Flavobacterium sp010119235, 95.0, 78.14, 0.32; GCF_004329815.1, s__Flavobacterium silvisoli, 95.0, 78.02, 0.26; GCA_903838055.1, s__Flavobacterium sp903838055, 95.0, 77.98, 0.29; GCF_000425465.1, s__Flavobacterium filum, 95.0, 77.96, 0.27; GCF_900111965.1, s__Flavobacterium swingsii, 95.0, 77.95, 0.28; GCF_003293845.1, s__Flavobacterium tibetense, 95.0, 77.94, 0.27; GCF_011742145.1, s__Flavobacterium sp011742145, 95.0, 77.91, 0.34; GCF_002917885.1, s__Flavobacterium croceum, 95.0, 77.89, 0.24; GCA_013822155.1, s__Flavobacterium sp013822155, 95.0, 77.89, 0.23; GCA_903888655.1, s__Flavobacterium sp903888655, 95.0, 77.89, 0.31; GCF_003634825.1, s__Flavobacterium sp003634825, 95.0, 77.86, 0.22; GCA_903842575.1, s__Flavobacterium sp903842575, 95.0, 77.85, 0.4; GCF_000686885.1, s__Flavobacterium sasangense, 95.0, 77.85, 0.28; GCF_003268855.1, s__Flavobacterium aciduliphilum, 95.0, 77.8, 0.26; GCF_003259835.1, s__Flavobacterium aquaticum, 95.0, 77.72, 0.29; GCF_007097365.1, s__Flavobacterium sp007097365, 95.0, 77.72, 0.23; GCA_002352205.1, s__Flavobacterium sp002352205, 95.0, 77.72, 0.28; GCA_000439025.2, s__Flavobacterium sp000439025, 95.0, 77.72, 0.25; GCA_014638005.1, s__Flavobacterium orientale, 95.0, 77.69, 0.25; GCA_903902795.1, s__Flavobacterium sp903902795, 95.0, 77.69, 0.24; GCF_002217405.1, s__Flavobacterium psychrophilum, 95.0, 77.66, 0.26; GCF_003268815.1, s__Flavobacterium lacus, 95.0, 77.63, 0.26; GCA_012837155.1, s__Flavobacterium sp012837155, 95.0, 77.61, 0.19; GCA_002296885.1, s__Flavobacterium sp002296885, 95.0, 77.61, 0.29; GCF_003634755.1, s__Flavobacterium limicola, 95.0, 77.61, 0.2; GCF_008806775.1, s__Flavobacterium luteum, 95.0, 77.6, 0.26; GCF_000812945.1, s__Flavobacterium sp000812945, 95.0, 77.58, 0.24; GCF_004122165.1, s__Flavobacterium sp004122165, 95.0, 77.57, 0.25; GCF_900110375.1, s__Flavobacterium sinopsychrotolerans, 95.0, 77.56, 0.24; GCF_004349315.1, s__Flavobacterium sp004349315, 95.0, 77.56, 0.23; GCF_002754315.1, s__Flavobacterium sp002754315, 95.0, 77.54, 0.24; GCF_009363055.1, s__Flavobacterium haoranii, 95.0, 77.47, 0.24; GCF_003097635.1, s__Flavobacterium psychrotolerans, 95.0, 77.47, 0.2; GCF_004349195.1, s__Flavobacterium sp004349195, 95.0, 77.45, 0.25; GCF_000419685.1, s__Flavobacterium antarcticum, 95.0, 77.43, 0.21; GCF_900142035.1, s__Flavobacterium terrae, 95.0, 77.4, 0.22; GCA_903819815.1, s__Flavobacterium sp903819815, 95.0, 77.4, 0.24; GCF_004349355.1, s__Flavobacterium cellulosilyticum, 95.0, 77.4, 0.22; GCF_900129705.1, s__Flavobacterium granuli, 95.0, 77.39, 0.2; GCF_003865365.1, s__Flavobacterium macacae, 95.0, 77.37, 0.2; GCF_900129545.1, s__Flavobacterium fluvii, 95.0, 77.36, 0.21; GCA_002428305.1, s__Flavobacterium sp002428305, 95.0, 77.3, 0.23; GCF_000737695.1, s__Flavobacterium hydatis, 95.0, 77.29, 0.21; GCF_004122145.1, s__Flavobacterium piscinae, 95.0, 77.28, 0.26; GCF_009789235.1, s__Flavobacterium sp009789235, 95.0, 77.28, 0.21; GCF_900142885.1, s__Flavobacterium xinjiangense, 95.0, 77.25, 0.22; GCA_014377455.1, s__Flavobacterium sp014377455, 95.0, 77.23, 0.24; GCF_900112975.1, s__Flavobacterium xueshanense, 95.0, 77.21, 0.23; GCF_000425485.1, s__Flavobacterium tegetincola, 95.0, 77.21, 0.21; GCF_003668995.1, s__Flavobacterium sp003668995, 95.0, 77.2, 0.22; GCA_009693635.1, s__Flavobacterium sp009693635, 95.0, 77.17, 0.3; GCA_002413745.1, s__Flavobacterium sp002413745, 95.0, 77.15, 0.21; GCA_014379405.1, s__Flavobacterium sp014379405, 95.0, 77.12, 0.16; GCA_903879875.1, s__Flavobacterium sp903879875, 95.0, 77.12, 0.21; GCF_000813005.1, s__Flavobacterium sp000813005, 95.0, 77.06, 0.22; GCA_903920835.1, s__Flavobacterium sp903920835, 95.0, 77.06, 0.2; GCA_903824755.1, s__Flavobacterium sp903824755, 95.0, 76.99, 0.25; GCA_903839195.1, s__Flavobacterium sp903839195, 95.0, 76.95, 0.3; GCA_903837025.1, s__Flavobacterium sp903837025, 95.0, 76.62, 0.14	98.51	11	0.9543695529028773	N/A
